plan_id	selector_kind	universe_id	budget	certainty_units	remaining_after_certainty	stratum_id	N_s	n_s	count_mass	duration_mass_ns	variation_proxy_mass	variation_proxy_source	allocation_score	random_audit_target	random_audit_actual	estimated_capture_cost_ns	status
C16_V2_R_B12_c16_llama32_1b_frozen_compatible_S3_DECODE	SELECTOR_R	c16_llama32_1b_frozen_compatible|S3|DECODE	12	0	12	DECODE|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM|R2_P2_7xP2_2|float16	53175	12	53175	642053846	0	NATIVE_CENSUS_PRE_OUTCOME	1	1	1	212363	FROZEN_READY
C16_V2_R_B24_c16_llama32_1b_frozen_compatible_S3_DECODE	SELECTOR_R	c16_llama32_1b_frozen_compatible|S3|DECODE	24	0	24	DECODE|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM|R2_P2_7xP2_2|float16	53175	24	53175	642053846	0	NATIVE_CENSUS_PRE_OUTCOME	1	2	2	258725	FROZEN_READY
C16_V2_R_B48_c16_llama32_1b_frozen_compatible_S3_DECODE	SELECTOR_R	c16_llama32_1b_frozen_compatible|S3|DECODE	48	0	48	DECODE|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM|R2_P2_7xP2_2|float16	53175	48	53175	642053846	0	NATIVE_CENSUS_PRE_OUTCOME	1	5	5	1073307	FROZEN_READY
C16_V2_R_B12_c16_llama32_1b_frozen_compatible_S3_FULL_FORWARD_UNATTRIBUTED	SELECTOR_R	c16_llama32_1b_frozen_compatible|S3|FULL_FORWARD_UNATTRIBUTED	12	5	7	FULL_FORWARD_UNATTRIBUTED|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM|R2_P2_7xP2_2|float16	2906	7	2906	1575403298	0	NATIVE_CENSUS_PRE_OUTCOME	1	1	1	304966882	FROZEN_READY
C16_V2_R_B24_c16_llama32_1b_frozen_compatible_S3_FULL_FORWARD_UNATTRIBUTED	SELECTOR_R	c16_llama32_1b_frozen_compatible|S3|FULL_FORWARD_UNATTRIBUTED	24	5	19	FULL_FORWARD_UNATTRIBUTED|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM|R2_P2_7xP2_2|float16	2906	19	2906	1575403298	0	NATIVE_CENSUS_PRE_OUTCOME	1	2	2	295122786	FROZEN_READY
C16_V2_R_B48_c16_llama32_1b_frozen_compatible_S3_FULL_FORWARD_UNATTRIBUTED	SELECTOR_R	c16_llama32_1b_frozen_compatible|S3|FULL_FORWARD_UNATTRIBUTED	48	5	43	FULL_FORWARD_UNATTRIBUTED|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM|R2_P2_7xP2_2|float16	2906	43	2906	1575403298	0	NATIVE_CENSUS_PRE_OUTCOME	1	5	5	317993738	FROZEN_READY
C16_V2_R_B12_c16_llama32_1b_frozen_compatible_S3_PREFILL	SELECTOR_R	c16_llama32_1b_frozen_compatible|S3|PREFILL	12	28	-16	PREFILL|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM|R2_P2_7xP2_2|float16	366	0	366	50162517	0	NATIVE_CENSUS_PRE_OUTCOME	1	1	0	108887395	BUDGET_EXCEEDED_BY_CERTAINTY
C16_V2_R_B24_c16_llama32_1b_frozen_compatible_S3_PREFILL	SELECTOR_R	c16_llama32_1b_frozen_compatible|S3|PREFILL	24	28	-4	PREFILL|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM|R2_P2_7xP2_2|float16	366	0	366	50162517	0	NATIVE_CENSUS_PRE_OUTCOME	1	2	0	108887395	BUDGET_EXCEEDED_BY_CERTAINTY
C16_V2_R_B48_c16_llama32_1b_frozen_compatible_S3_PREFILL	SELECTOR_R	c16_llama32_1b_frozen_compatible|S3|PREFILL	48	28	20	PREFILL|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM|R2_P2_7xP2_2|float16	366	20	366	50162517	0	NATIVE_CENSUS_PRE_OUTCOME	1	5	5	112879072	FROZEN_READY
C16_V2_R_B12_c16_llama32_1b_frozen_compatible_S4_DECODE	SELECTOR_R	c16_llama32_1b_frozen_compatible|S4|DECODE	12	0	12	DECODE|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM|R2_P2_5xP2_2|float16	56775	12	56775	704941622	0	NATIVE_CENSUS_PRE_OUTCOME	1	1	1	86587	FROZEN_READY
C16_V2_R_B24_c16_llama32_1b_frozen_compatible_S4_DECODE	SELECTOR_R	c16_llama32_1b_frozen_compatible|S4|DECODE	24	0	24	DECODE|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM|R2_P2_5xP2_2|float16	56775	24	56775	704941622	0	NATIVE_CENSUS_PRE_OUTCOME	1	2	2	262612	FROZEN_READY
C16_V2_R_B48_c16_llama32_1b_frozen_compatible_S4_DECODE	SELECTOR_R	c16_llama32_1b_frozen_compatible|S4|DECODE	48	0	48	DECODE|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM|R2_P2_5xP2_2|float16	56775	48	56775	704941622	0	NATIVE_CENSUS_PRE_OUTCOME	1	5	5	595370	FROZEN_READY
C16_V2_R_B12_c16_llama32_1b_frozen_compatible_S4_FULL_FORWARD_UNATTRIBUTED	SELECTOR_R	c16_llama32_1b_frozen_compatible|S4|FULL_FORWARD_UNATTRIBUTED	12	5	7	FULL_FORWARD_UNATTRIBUTED|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM|R2_P2_5xP2_2|float16	2957	7	2957	1367328859	0	NATIVE_CENSUS_PRE_OUTCOME	1	1	1	290999647	FROZEN_READY
C16_V2_R_B24_c16_llama32_1b_frozen_compatible_S4_FULL_FORWARD_UNATTRIBUTED	SELECTOR_R	c16_llama32_1b_frozen_compatible|S4|FULL_FORWARD_UNATTRIBUTED	24	5	19	FULL_FORWARD_UNATTRIBUTED|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM|R2_P2_5xP2_2|float16	2957	19	2957	1367328859	0	NATIVE_CENSUS_PRE_OUTCOME	1	2	2	297461531	FROZEN_READY
C16_V2_R_B48_c16_llama32_1b_frozen_compatible_S4_FULL_FORWARD_UNATTRIBUTED	SELECTOR_R	c16_llama32_1b_frozen_compatible|S4|FULL_FORWARD_UNATTRIBUTED	48	5	43	FULL_FORWARD_UNATTRIBUTED|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM|R2_P2_5xP2_2|float16	2957	43	2957	1367328859	0	NATIVE_CENSUS_PRE_OUTCOME	1	5	5	305525919	FROZEN_READY
C16_V2_R_B12_c16_llama32_1b_frozen_compatible_S4_PREFILL	SELECTOR_R	c16_llama32_1b_frozen_compatible|S4|PREFILL	12	21	-9	PREFILL|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM|R2_P2_5xP2_2|float16	322	0	322	48418806	0	NATIVE_CENSUS_PRE_OUTCOME	1	1	0	71108498	BUDGET_EXCEEDED_BY_CERTAINTY
C16_V2_R_B24_c16_llama32_1b_frozen_compatible_S4_PREFILL	SELECTOR_R	c16_llama32_1b_frozen_compatible|S4|PREFILL	24	21	3	PREFILL|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM|R2_P2_5xP2_2|float16	322	3	322	48418806	0	NATIVE_CENSUS_PRE_OUTCOME	1	2	2	71421700	FROZEN_READY
C16_V2_R_B48_c16_llama32_1b_frozen_compatible_S4_PREFILL	SELECTOR_R	c16_llama32_1b_frozen_compatible|S4|PREFILL	48	21	27	PREFILL|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM|R2_P2_5xP2_2|float16	322	27	322	48418806	0	NATIVE_CENSUS_PRE_OUTCOME	1	5	5	73895808	FROZEN_READY
C16_V2_R_B12_c16_qwen25_05b_native_reference_S1_DECODE	SELECTOR_R	c16_qwen25_05b_native_reference|S1|DECODE	12	0	12	DECODE|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM|R2_P2_5xP2_2|float16	82575	12	82575	291556270	0	NATIVE_CENSUS_PRE_OUTCOME	1	1	1	38901	FROZEN_READY
C16_V2_R_B24_c16_qwen25_05b_native_reference_S1_DECODE	SELECTOR_R	c16_qwen25_05b_native_reference|S1|DECODE	24	0	24	DECODE|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM|R2_P2_5xP2_2|float16	82575	24	82575	291556270	0	NATIVE_CENSUS_PRE_OUTCOME	1	2	2	118459	FROZEN_READY
C16_V2_R_B48_c16_qwen25_05b_native_reference_S1_DECODE	SELECTOR_R	c16_qwen25_05b_native_reference|S1|DECODE	48	0	48	DECODE|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM|R2_P2_5xP2_2|float16	82575	48	82575	291556270	0	NATIVE_CENSUS_PRE_OUTCOME	1	5	5	151790	FROZEN_READY
C16_V2_R_B12_c16_qwen25_05b_native_reference_S1_FULL_FORWARD_UNATTRIBUTED	SELECTOR_R	c16_qwen25_05b_native_reference|S1|FULL_FORWARD_UNATTRIBUTED	12	5	7	FULL_FORWARD_UNATTRIBUTED|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM|R2_P2_5xP2_2|float16	5	5	5	45649	0	NATIVE_CENSUS_PRE_OUTCOME	1	1	1	5585527	FROZEN_READY
C16_V2_R_B24_c16_qwen25_05b_native_reference_S1_FULL_FORWARD_UNATTRIBUTED	SELECTOR_R	c16_qwen25_05b_native_reference|S1|FULL_FORWARD_UNATTRIBUTED	24	5	19	FULL_FORWARD_UNATTRIBUTED|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM|R2_P2_5xP2_2|float16	5	5	5	45649	0	NATIVE_CENSUS_PRE_OUTCOME	1	2	2	5585527	FROZEN_READY
C16_V2_R_B48_c16_qwen25_05b_native_reference_S1_FULL_FORWARD_UNATTRIBUTED	SELECTOR_R	c16_qwen25_05b_native_reference|S1|FULL_FORWARD_UNATTRIBUTED	48	5	43	FULL_FORWARD_UNATTRIBUTED|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM|R2_P2_5xP2_2|float16	5	5	5	45649	0	NATIVE_CENSUS_PRE_OUTCOME	1	5	5	5585527	FROZEN_READY
C16_V2_R_B12_c16_qwen25_05b_native_reference_S1_PREFILL	SELECTOR_R	c16_qwen25_05b_native_reference|S1|PREFILL	12	0	12	PREFILL|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM|R2_P2_5xP2_2|float16	5015	12	5015	35289253	0	NATIVE_CENSUS_PRE_OUTCOME	1	1	1	47795	FROZEN_READY
C16_V2_R_B24_c16_qwen25_05b_native_reference_S1_PREFILL	SELECTOR_R	c16_qwen25_05b_native_reference|S1|PREFILL	24	0	24	PREFILL|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM|R2_P2_5xP2_2|float16	5015	24	5015	35289253	0	NATIVE_CENSUS_PRE_OUTCOME	1	2	2	129020	FROZEN_READY
C16_V2_R_B48_c16_qwen25_05b_native_reference_S1_PREFILL	SELECTOR_R	c16_qwen25_05b_native_reference|S1|PREFILL	48	0	48	PREFILL|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM|R2_P2_5xP2_2|float16	5015	48	5015	35289253	0	NATIVE_CENSUS_PRE_OUTCOME	1	5	5	320290	FROZEN_READY
C16_V2_R_B12_c16_qwen25_05b_native_reference_S2_DECODE	SELECTOR_R	c16_qwen25_05b_native_reference|S2|DECODE	12	0	12	DECODE|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM|R2_P2_5xP2_1|float16	170655	12	170655	704725667	0	NATIVE_CENSUS_PRE_OUTCOME	1	1	1	32386	FROZEN_READY
C16_V2_R_B24_c16_qwen25_05b_native_reference_S2_DECODE	SELECTOR_R	c16_qwen25_05b_native_reference|S2|DECODE	24	0	24	DECODE|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM|R2_P2_5xP2_1|float16	170655	24	170655	704725667	0	NATIVE_CENSUS_PRE_OUTCOME	1	2	2	91624	FROZEN_READY
C16_V2_R_B48_c16_qwen25_05b_native_reference_S2_DECODE	SELECTOR_R	c16_qwen25_05b_native_reference|S2|DECODE	48	0	48	DECODE|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM|R2_P2_5xP2_1|float16	170655	48	170655	704725667	0	NATIVE_CENSUS_PRE_OUTCOME	1	5	5	214543	FROZEN_READY
C16_V2_R_B12_c16_qwen25_05b_native_reference_S2_FULL_FORWARD_UNATTRIBUTED	SELECTOR_R	c16_qwen25_05b_native_reference|S2|FULL_FORWARD_UNATTRIBUTED	12	5	7	FULL_FORWARD_UNATTRIBUTED|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM|R2_P2_5xP2_1|float16	1654	7	1654	72467164	0	NATIVE_CENSUS_PRE_OUTCOME	1	1	1	42266942	FROZEN_READY
C16_V2_R_B24_c16_qwen25_05b_native_reference_S2_FULL_FORWARD_UNATTRIBUTED	SELECTOR_R	c16_qwen25_05b_native_reference|S2|FULL_FORWARD_UNATTRIBUTED	24	5	19	FULL_FORWARD_UNATTRIBUTED|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM|R2_P2_5xP2_1|float16	1654	19	1654	72467164	0	NATIVE_CENSUS_PRE_OUTCOME	1	2	2	42522227	FROZEN_READY
C16_V2_R_B48_c16_qwen25_05b_native_reference_S2_FULL_FORWARD_UNATTRIBUTED	SELECTOR_R	c16_qwen25_05b_native_reference|S2|FULL_FORWARD_UNATTRIBUTED	48	5	43	FULL_FORWARD_UNATTRIBUTED|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM|R2_P2_5xP2_1|float16	1654	43	1654	72467164	0	NATIVE_CENSUS_PRE_OUTCOME	1	5	5	44394747	FROZEN_READY
C16_V2_R_B12_c16_qwen25_05b_native_reference_S2_PREFILL	SELECTOR_R	c16_qwen25_05b_native_reference|S2|PREFILL	12	0	12	PREFILL|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM|R2_P2_5xP2_1|float16	3246	12	3246	138179585	0	NATIVE_CENSUS_PRE_OUTCOME	1	1	1	968565	FROZEN_READY
C16_V2_R_B24_c16_qwen25_05b_native_reference_S2_PREFILL	SELECTOR_R	c16_qwen25_05b_native_reference|S2|PREFILL	24	0	24	PREFILL|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM|R2_P2_5xP2_1|float16	3246	24	3246	138179585	0	NATIVE_CENSUS_PRE_OUTCOME	1	2	2	1264430	FROZEN_READY
C16_V2_R_B48_c16_qwen25_05b_native_reference_S2_PREFILL	SELECTOR_R	c16_qwen25_05b_native_reference|S2|PREFILL	48	0	48	PREFILL|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM|R2_P2_5xP2_1|float16	3246	48	3246	138179585	0	NATIVE_CENSUS_PRE_OUTCOME	1	5	5	2170905	FROZEN_READY
C16_V2_R_B12_c16_qwen25_05b_native_reference_S3_DECODE	SELECTOR_R	c16_qwen25_05b_native_reference|S3|DECODE	12	0	12	DECODE|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM_EAGER|R2_P2_7xP2_2|float16	82575	12	82575	451819190	0	NATIVE_CENSUS_PRE_OUTCOME	1	1	1	71954	FROZEN_READY
C16_V2_R_B24_c16_qwen25_05b_native_reference_S3_DECODE	SELECTOR_R	c16_qwen25_05b_native_reference|S3|DECODE	24	0	24	DECODE|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM_EAGER|R2_P2_7xP2_2|float16	82575	24	82575	451819190	0	NATIVE_CENSUS_PRE_OUTCOME	1	2	2	97712	FROZEN_READY
C16_V2_R_B48_c16_qwen25_05b_native_reference_S3_DECODE	SELECTOR_R	c16_qwen25_05b_native_reference|S3|DECODE	48	0	48	DECODE|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM_EAGER|R2_P2_7xP2_2|float16	82575	48	82575	451819190	0	NATIVE_CENSUS_PRE_OUTCOME	1	5	5	291183	FROZEN_READY
C16_V2_R_B12_c16_qwen25_05b_native_reference_S3_FULL_FORWARD_UNATTRIBUTED	SELECTOR_R	c16_qwen25_05b_native_reference|S3|FULL_FORWARD_UNATTRIBUTED	12	5	7	FULL_FORWARD_UNATTRIBUTED|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM_EAGER|R2_P2_7xP2_2|float16	4055	7	4055	731217231	0	NATIVE_CENSUS_PRE_OUTCOME	1	1	1	155040329	FROZEN_READY
C16_V2_R_B24_c16_qwen25_05b_native_reference_S3_FULL_FORWARD_UNATTRIBUTED	SELECTOR_R	c16_qwen25_05b_native_reference|S3|FULL_FORWARD_UNATTRIBUTED	24	5	19	FULL_FORWARD_UNATTRIBUTED|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM_EAGER|R2_P2_7xP2_2|float16	4055	19	4055	731217231	0	NATIVE_CENSUS_PRE_OUTCOME	1	2	2	155585131	FROZEN_READY
C16_V2_R_B48_c16_qwen25_05b_native_reference_S3_FULL_FORWARD_UNATTRIBUTED	SELECTOR_R	c16_qwen25_05b_native_reference|S3|FULL_FORWARD_UNATTRIBUTED	48	5	43	FULL_FORWARD_UNATTRIBUTED|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM_EAGER|R2_P2_7xP2_2|float16	4055	43	4055	731217231	0	NATIVE_CENSUS_PRE_OUTCOME	1	5	5	160141540	FROZEN_READY
C16_V2_R_B12_c16_qwen25_05b_native_reference_S3_PREFILL	SELECTOR_R	c16_qwen25_05b_native_reference|S3|PREFILL	12	20	-8	PREFILL|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM_EAGER|R2_P2_7xP2_2|float16	825	0	825	93709814	0	NATIVE_CENSUS_PRE_OUTCOME	1	1	0	39189137	BUDGET_EXCEEDED_BY_CERTAINTY
C16_V2_R_B24_c16_qwen25_05b_native_reference_S3_PREFILL	SELECTOR_R	c16_qwen25_05b_native_reference|S3|PREFILL	24	20	4	PREFILL|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM_EAGER|R2_P2_7xP2_2|float16	825	4	825	93709814	0	NATIVE_CENSUS_PRE_OUTCOME	1	2	2	40690248	FROZEN_READY
C16_V2_R_B48_c16_qwen25_05b_native_reference_S3_PREFILL	SELECTOR_R	c16_qwen25_05b_native_reference|S3|PREFILL	48	20	28	PREFILL|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM_EAGER|R2_P2_7xP2_2|float16	825	28	825	93709814	0	NATIVE_CENSUS_PRE_OUTCOME	1	5	5	43928429	FROZEN_READY
C16_V2_R_B12_c16_qwen25_05b_native_reference_S4_DECODE	SELECTOR_R	c16_qwen25_05b_native_reference|S4|DECODE	12	0	12	DECODE|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM_EAGER|R2_P2_5xP2_2|float16	80775	12	80775	493274163	0	NATIVE_CENSUS_PRE_OUTCOME	1	1	1	37667	FROZEN_READY
C16_V2_R_B24_c16_qwen25_05b_native_reference_S4_DECODE	SELECTOR_R	c16_qwen25_05b_native_reference|S4|DECODE	24	0	24	DECODE|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM_EAGER|R2_P2_5xP2_2|float16	80775	24	80775	493274163	0	NATIVE_CENSUS_PRE_OUTCOME	1	2	2	253358	FROZEN_READY
C16_V2_R_B48_c16_qwen25_05b_native_reference_S4_DECODE	SELECTOR_R	c16_qwen25_05b_native_reference|S4|DECODE	48	0	48	DECODE|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM_EAGER|R2_P2_5xP2_2|float16	80775	48	80775	493274163	0	NATIVE_CENSUS_PRE_OUTCOME	1	5	5	240050	FROZEN_READY
