model_id	revision	resource_kind	url	http_status	content_range	bytes_read	sha256	result_status	attempts	missing_reason
Qwen/Qwen2.5-7B-Instruct-AWQ	NA	HF_MODEL_API	https://huggingface.co/api/models/Qwen/Qwen2.5-7B-Instruct-AWQ?expand[]=sha&expand[]=siblings	200	NA	546	0755f21d3d4461a13f2b8482cd347e3817c95c66ab6df8721633e03015a49fed	PASS	1	NA
Qwen/Qwen2.5-7B-Instruct-AWQ	b25037543e9394b818fdfca67ab2a00ecc7dd641	CONFIG_JSON	https://huggingface.co/Qwen/Qwen2.5-7B-Instruct-AWQ/resolve/b25037543e9394b818fdfca67ab2a00ecc7dd641/config.json	200	NA	841	ec0c1f5f875ad8bc1f78c5140c22dbdde1b55478442ad358e7a4d9ecf947a327	PASS	1	NA
Qwen/Qwen2.5-7B-Instruct-AWQ	b25037543e9394b818fdfca67ab2a00ecc7dd641	SAFETENSORS_INDEX	https://huggingface.co/Qwen/Qwen2.5-7B-Instruct-AWQ/resolve/b25037543e9394b818fdfca67ab2a00ecc7dd641/model.safetensors.index.json	200	NA	62662	559b6859f37625080bf49eea80806ecc2f859a13b316b7fae2ff4432b6308e36	PASS	1	NA
Qwen/Qwen2.5-7B-Instruct-AWQ	b25037543e9394b818fdfca67ab2a00ecc7dd641	SAFETENSORS_HEADER_RANGE	https://huggingface.co/Qwen/Qwen2.5-7B-Instruct-AWQ/resolve/b25037543e9394b818fdfca67ab2a00ecc7dd641/model-00001-of-00002.safetensors	206	bytes 8-70463/3996422976	70464	83ed28bb429afb564603e6828c4571fc717065083ea4616d85dec56b62ebe454	PASS	1	NA
Qwen/Qwen2.5-7B-Instruct-AWQ	b25037543e9394b818fdfca67ab2a00ecc7dd641	SAFETENSORS_HEADER_RANGE	https://huggingface.co/Qwen/Qwen2.5-7B-Instruct-AWQ/resolve/b25037543e9394b818fdfca67ab2a00ecc7dd641/model-00002-of-00002.safetensors	206	bytes 8-11903/1574406784	11904	eb930a52ce30562efa5b49c7e3fb7a897f45727738452116df0d44d4a9c5daea	PASS	1	NA
Qwen/Qwen3-0.6B	NA	HF_MODEL_API	https://huggingface.co/api/models/Qwen/Qwen3-0.6B?expand[]=sha&expand[]=siblings	NA	NA	0	NA	FAILED	1	"C15Error:curl fallback failed (exit 28): HTTP/1.1 200 Connection established

curl: (28) Operation timed out after 5001 milliseconds with 0 bytes received
"
Qwen/Qwen3-8B	NA	HF_MODEL_API	https://huggingface.co/api/models/Qwen/Qwen3-8B?expand[]=sha&expand[]=siblings	200	NA	678	a28fca8edd1891b04e288863afad73391502b8dec698252307cc3f46c384e25a	PASS	1	NA
Qwen/Qwen3-8B	b968826d9c46dd6066d109eabc6255188de91218	CONFIG_JSON	https://huggingface.co/Qwen/Qwen3-8B/resolve/b968826d9c46dd6066d109eabc6255188de91218/config.json	200	NA	728	f7c4eadfbbf522470667b797a3c89be2524832d2d599797248dc304fff447c30	PASS	1	NA
Qwen/Qwen3-8B	b968826d9c46dd6066d109eabc6255188de91218	SAFETENSORS_INDEX	https://huggingface.co/Qwen/Qwen3-8B/resolve/b968826d9c46dd6066d109eabc6255188de91218/model.safetensors.index.json	200	NA	32878	f9fdbcb91c23971c13ec5d5f2573d2349e8f61f2f049371ec699281748fdb1bc	PASS	1	NA
Qwen/Qwen3-8B	b968826d9c46dd6066d109eabc6255188de91218	SAFETENSORS_HEADER_RANGE	https://huggingface.co/Qwen/Qwen3-8B/resolve/b968826d9c46dd6066d109eabc6255188de91218/model-00001-of-00005.safetensors	NA	NA	0	NA	FAILED	1	"C15Error:curl fallback failed (exit 63):  116da182b39d985666ed62f3630a9fe4.cloudfront.net (CloudFront)
x-amz-cf-pop: SIN2-P4
x-amz-cf-id: _r0GC6e0UmalEcqR6Zp_kGu7Acmqx6HHdEop93z_v4B_D5mJT-h2zg==
strict-transport-security: max-age=31536000
curl: "
Qwen/Qwen3-30B-A3B	NA	HF_MODEL_API	https://huggingface.co/api/models/Qwen/Qwen3-30B-A3B?expand[]=sha&expand[]=siblings	200	NA	1222	3c58802c8841a6aee5412fb83139966773259f9c5a3ab889f0c9559dde2315cb	PASS	1	NA
Qwen/Qwen3-30B-A3B	ad44e777bcd18fa416d9da3bd8f70d33ebb85d39	CONFIG_JSON	https://huggingface.co/Qwen/Qwen3-30B-A3B/resolve/ad44e777bcd18fa416d9da3bd8f70d33ebb85d39/config.json	200	NA	963	2850ddb3bf7aecad20b611e2d44f3077fc8193f4827c93beddd4c02ad63c2297	PASS	1	NA
Qwen/Qwen3-30B-A3B	ad44e777bcd18fa416d9da3bd8f70d33ebb85d39	SAFETENSORS_INDEX	https://huggingface.co/Qwen/Qwen3-30B-A3B/resolve/ad44e777bcd18fa416d9da3bd8f70d33ebb85d39/model.safetensors.index.json	NA	NA	0	NA	FAILED	1	"C15Error:curl fallback failed (exit 28): : SIN2-P4
x-amz-cf-id: 8WE2ReYfD3AAb7gAKH7t_z30nmc7gDMySwJIe6YzHkorPl5Y9iwwag==
age: 325943
strict-transport-security: max-age=31536000

curl: (28) Operation timed out after 3922 milliseconds with 109428"
deepseek-ai/DeepSeek-V2-Lite	NA	HF_MODEL_API	https://huggingface.co/api/models/deepseek-ai/DeepSeek-V2-Lite?expand[]=sha&expand[]=siblings	200	NA	719	165565f00a64bb11f3a8da6ced27cf2c64325801ff9b4976d43b67619d54f9bf	PASS	1	NA
deepseek-ai/DeepSeek-V2-Lite	604d5664dddd88a0433dbae533b7fe9472482de0	CONFIG_JSON	https://huggingface.co/deepseek-ai/DeepSeek-V2-Lite/resolve/604d5664dddd88a0433dbae533b7fe9472482de0/config.json	200	NA	1522	f346286b0f1c8b044252fd54cb4fa78b9fab6472a6e8bebb9edfe03d414ea03d	PASS	1	NA
deepseek-ai/DeepSeek-V2-Lite	604d5664dddd88a0433dbae533b7fe9472482de0	SAFETENSORS_INDEX	https://huggingface.co/deepseek-ai/DeepSeek-V2-Lite/resolve/604d5664dddd88a0433dbae533b7fe9472482de0/model.safetensors.index.json	200	NA	479924	d2cdb2f325f6682cf3ad1ad2526a9f979d857390b579380c0331d975136e0acf	PASS	1	NA
deepseek-ai/DeepSeek-V2-Lite	604d5664dddd88a0433dbae533b7fe9472482de0	SAFETENSORS_HEADER_RANGE	https://huggingface.co/deepseek-ai/DeepSeek-V2-Lite/resolve/604d5664dddd88a0433dbae533b7fe9472482de0/model-00001-of-000004.safetensors	NA	NA	0	NA	FAILED	1	"C15Error:curl fallback failed (exit 63): 43a.cloudfront.net (CloudFront)
x-amz-cf-pop: SIN2-P4
alt-svc: h3="":443""; ma=86400
x-amz-cf-id: 1dXkKMhDLQOIbzGsF50LoQ8PFdc-ziMBL699Cas1rfFyNPmVLECLvQ==
strict-transport-security: max-age=31536000
curl: "
openai/gpt-oss-20b	NA	HF_MODEL_API	https://huggingface.co/api/models/openai/gpt-oss-20b?expand[]=sha&expand[]=siblings	200	NA	785	27c5ab54f053a13dea33dbb3748650ca316dba0acf787019dd6d5648773ffb98	PASS	1	NA
openai/gpt-oss-20b	6cee5e81ee83917806bbde320786a8fb61efebee	CONFIG_JSON	https://huggingface.co/openai/gpt-oss-20b/resolve/6cee5e81ee83917806bbde320786a8fb61efebee/config.json	200	NA	1806	3a2a26ded679375b7928ddeca59764df7cea83220c1961035f6d6e232659e9ce	PASS	1	NA
openai/gpt-oss-20b	6cee5e81ee83917806bbde320786a8fb61efebee	SAFETENSORS_INDEX	https://huggingface.co/openai/gpt-oss-20b/resolve/6cee5e81ee83917806bbde320786a8fb61efebee/model.safetensors.index.json	200	NA	36355	0e085b977c4c9942f85938828e8c989ed7d5cdabf852e4da6a67c116cd502cd1	PASS	1	NA
openai/gpt-oss-20b	6cee5e81ee83917806bbde320786a8fb61efebee	SAFETENSORS_HEADER_RANGE	https://huggingface.co/openai/gpt-oss-20b/resolve/6cee5e81ee83917806bbde320786a8fb61efebee/model-00000-of-00002.safetensors	NA	NA	0	NA	FAILED	1	"C15Error:curl fallback failed (exit 63): 1a4.cloudfront.net (CloudFront)
x-amz-cf-pop: SIN2-P4
alt-svc: h3="":443""; ma=86400
x-amz-cf-id: ak2ihywDgmG41p3KnXR9sODDxDtO7BAWQyllPvt9CcYpE_HajSLU_w==
strict-transport-security: max-age=31536000
curl: "
bigscience/bloom-560m	NA	HF_MODEL_API	https://huggingface.co/api/models/bigscience/bloom-560m?expand[]=sha&expand[]=siblings	200	NA	936	680d53d7d47d439caeb890f03b6ad7ad0e34a0a38a8b4859ce103b633bbd2215	PASS	1	NA
bigscience/bloom-560m	ac2ae5fab2ce3f9f40dc79b5ca9f637430d24971	CONFIG_JSON	https://huggingface.co/bigscience/bloom-560m/resolve/ac2ae5fab2ce3f9f40dc79b5ca9f637430d24971/config.json	200	NA	693	5a255f97efaea3c0dabef5e743d2dd969cf1f733a9c5fd6ef41a42c1aae822e9	PASS	1	NA
bigscience/bloom-560m	ac2ae5fab2ce3f9f40dc79b5ca9f637430d24971	SAFETENSORS_HEADER_RANGE	https://huggingface.co/bigscience/bloom-560m/resolve/ac2ae5fab2ce3f9f40dc79b5ca9f637430d24971/model.safetensors	NA	NA	0	NA	FAILED	1	"C15Error:curl fallback failed (exit 28): HTTP/1.1 200 Connection established

curl: (28) Operation timed out after 5000 milliseconds with 0 bytes received
"
facebook/opt-1.3b	NA	HF_MODEL_API	https://huggingface.co/api/models/facebook/opt-1.3b?expand[]=sha&expand[]=siblings	200	NA	501	ac97051fbe5565a75bb7bd1abf364cd114a334dfb158cb2f494037a794a2b499	PASS	1	NA
facebook/opt-1.3b	3f5c25d0bc631cb57ac65913f76e22c2dfb61d62	CONFIG_JSON	https://huggingface.co/facebook/opt-1.3b/resolve/3f5c25d0bc631cb57ac65913f76e22c2dfb61d62/config.json	200	NA	653	f1aaceefb7d34d346e9b0400d95fdb4970567bcbe1d4aba1068c5402099b644f	PASS	1	NA
mistralai/Mistral-7B-v0.3	NA	HF_MODEL_API	https://huggingface.co/api/models/mistralai/Mistral-7B-v0.3?expand[]=sha&expand[]=siblings	200	NA	690	82efe3411a0d81c81476d7e140cae8846779f9061533742f4a7cf7d96065ad95	PASS	1	NA
mistralai/Mistral-7B-v0.3	caa1feb0e54d415e2df31207e5f4e273e33509b1	CONFIG_JSON	https://huggingface.co/mistralai/Mistral-7B-v0.3/resolve/caa1feb0e54d415e2df31207e5f4e273e33509b1/config.json	200	NA	601	affafc6478ec0fd07a32f0ca57aa2fc57743f4d17d6730f86a96ac24d1507f99	PASS	1	NA
mistralai/Mistral-7B-v0.3	caa1feb0e54d415e2df31207e5f4e273e33509b1	SAFETENSORS_INDEX	https://huggingface.co/mistralai/Mistral-7B-v0.3/resolve/caa1feb0e54d415e2df31207e5f4e273e33509b1/model.safetensors.index.json	200	NA	23950	e489ba553b87cde188d921b1a8283c2e0b9d33d635b88147d96ff0fcd6250016	PASS	1	NA
mistralai/Mistral-7B-v0.3	caa1feb0e54d415e2df31207e5f4e273e33509b1	SAFETENSORS_HEADER_RANGE	https://huggingface.co/mistralai/Mistral-7B-v0.3/resolve/caa1feb0e54d415e2df31207e5f4e273e33509b1/model-00001-of-00003.safetensors	NA	NA	0	NA	FAILED	1	"C15Error:curl fallback failed (exit 63): 1ec.cloudfront.net (CloudFront)
x-amz-cf-pop: SIN3-P2
alt-svc: h3="":443""; ma=86400
x-amz-cf-id: 2-b-hRxMMU2E4bBLPlXTFkrtMVKWETmJMRCh1ByrKcKaH33w_oQtCw==
strict-transport-security: max-age=31536000
curl: "
FalconAI/falcon-7b	NA	HF_MODEL_API	https://huggingface.co/api/models/FalconAI/falcon-7b?expand[]=sha&expand[]=siblings	NA	NA	0	NA	FAILED	1	C15Error:curl JSON HEAD returned HTTP 401
