evidence_label	stage	workload	config_id	roi	coverage_class	semantic_status	realized_run_id	sample_scope	gpu_tot_ipc	vm_l1_tlb_accesses	vm_l1_tlb_hits	vm_l1_tlb_misses	vm_l2_tlb_accesses	vm_l2_tlb_hits	vm_l2_tlb_misses	vm_translation_mshr_allocations	vm_translation_mshr_merges	vm_translation_mshr_full_events	vm_translation_pwq_full_events	vm_translation_walk_starts	vm_pwc_accesses	vm_pwc_hits	vm_pwc_misses	vm_pte_requests	vm_pte_responses	vm_pte_response_misassociations	vm_translation_waiter_registrations	vm_translation_waiter_wakeups	completed_kernels	telemetry_records	rss_kb	wall_seconds	caveat
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-l2tlb-e256	prefill	SMOKE_ONLY	COMPLETE	b2-smoke-b2-l2tlb-e256-prefill	one_kernel_continuous_replay	1663.7548	99119	97229	1890	1890	1075	815	38	777	0	0	38	114	109	5	43	43	0	815	815	1	1	626688	52.15	单 kernel smoke；不可用于完整 workload 性能结论。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-l2tlb-e256	decode1	SMOKE_ONLY	COMPLETE	b2-smoke-b2-l2tlb-e256-decode1	one_kernel_continuous_replay	116.1201	1568	1536	32	32	0	32	2	30	0	0	2	6	1	5	7	7	0	32	32	1	1	204800	02.76	单 kernel smoke；不可用于完整 workload 性能结论。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-l2tlb-e512	prefill	SMOKE_ONLY	COMPLETE	b2-smoke-retry1-b2-l2tlb-e512-prefill	one_kernel_continuous_replay	1663.7548	99119	97229	1890	1890	1075	815	38	777	0	0	38	114	109	5	43	43	0	815	815	1	1	626688	40.92	单 kernel smoke；不可用于完整 workload 性能结论。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-l2tlb-e512	decode1	SMOKE_ONLY	COMPLETE	b2-smoke-retry1-b2-l2tlb-e512-decode1	one_kernel_continuous_replay	116.1201	1568	1536	32	32	0	32	2	30	0	0	2	6	1	5	7	7	0	32	32	1	1	204800	02.61	单 kernel smoke；不可用于完整 workload 性能结论。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-l2tlb-e1536	prefill	SMOKE_ONLY	COMPLETE	b2-smoke-b2-l2tlb-e1536-prefill	one_kernel_continuous_replay	1663.7548	99119	97229	1890	1890	1075	815	38	777	0	0	38	114	109	5	43	43	0	815	815	1	1	626688	47.00	单 kernel smoke；不可用于完整 workload 性能结论。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-l2tlb-e1536	decode1	SMOKE_ONLY	COMPLETE	b2-smoke-b2-l2tlb-e1536-decode1	one_kernel_continuous_replay	116.1201	1568	1536	32	32	0	32	2	30	0	0	2	6	1	5	7	7	0	32	32	1	1	204800	35.72	单 kernel smoke；不可用于完整 workload 性能结论。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-l2tlb-e3072	prefill	SMOKE_ONLY	COMPLETE	b2-smoke-b2-l2tlb-e3072-prefill	one_kernel_continuous_replay	1663.7548	99119	97229	1890	1890	1075	815	38	777	0	0	38	114	109	5	43	43	0	815	815	1	1	626688	53.21	单 kernel smoke；不可用于完整 workload 性能结论。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-l2tlb-e3072	decode1	SMOKE_ONLY	COMPLETE	b2-smoke-b2-l2tlb-e3072-decode1	one_kernel_continuous_replay	116.1201	1568	1536	32	32	0	32	2	30	0	0	2	6	1	5	7	7	0	32	32	1	1	204800	02.75	单 kernel smoke；不可用于完整 workload 性能结论。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-mshr-8	prefill	SMOKE_ONLY	COMPLETE	b2-smoke-b2-mshr-8-prefill	one_kernel_continuous_replay	1663.7548	99119	97229	1890	1890	1075	815	38	777	0	0	38	114	109	5	43	43	0	815	815	1	1	626688	47.43	单 kernel smoke；不可用于完整 workload 性能结论。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-mshr-8	decode1	SMOKE_ONLY	COMPLETE	b2-smoke-b2-mshr-8-decode1	one_kernel_continuous_replay	116.1201	1568	1536	32	32	0	32	2	30	0	0	2	6	1	5	7	7	0	32	32	1	1	204800	02.81	单 kernel smoke；不可用于完整 workload 性能结论。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-mshr-16	prefill	SMOKE_ONLY	COMPLETE	b2-smoke-retry1-b2-mshr-16-prefill	one_kernel_continuous_replay	1663.7548	99119	97229	1890	1890	1075	815	38	777	0	0	38	114	109	5	43	43	0	815	815	1	1	626688	41.41	单 kernel smoke；不可用于完整 workload 性能结论。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-mshr-16	decode1	SMOKE_ONLY	COMPLETE	b2-smoke-retry1-b2-mshr-16-decode1	one_kernel_continuous_replay	116.1201	1568	1536	32	32	0	32	2	30	0	0	2	6	1	5	7	7	0	32	32	1	1	204800	02.59	单 kernel smoke；不可用于完整 workload 性能结论。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-mshr-64	prefill	SMOKE_ONLY	COMPLETE	b2-smoke-retry1-b2-mshr-64-prefill	one_kernel_continuous_replay	1663.7548	99119	97229	1890	1890	1075	815	38	777	0	0	38	114	109	5	43	43	0	815	815	1	1	626688	41.42	单 kernel smoke；不可用于完整 workload 性能结论。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-mshr-64	decode1	SMOKE_ONLY	COMPLETE	b2-smoke-retry2-b2-mshr-64-decode1	one_kernel_continuous_replay	116.1201	1568	1536	32	32	0	32	2	30	0	0	2	6	1	5	7	7	0	32	32	1	1	204800	02.67	单 kernel smoke；不可用于完整 workload 性能结论。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-mshr-128	prefill	SMOKE_ONLY	COMPLETE	b2-smoke-b2-mshr-128-prefill	one_kernel_continuous_replay	1663.7548	99119	97229	1890	1890	1075	815	38	777	0	0	38	114	109	5	43	43	0	815	815	1	1	626688	49.57	单 kernel smoke；不可用于完整 workload 性能结论。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-mshr-128	decode1	SMOKE_ONLY	COMPLETE	b2-smoke-b2-mshr-128-decode1	one_kernel_continuous_replay	116.1201	1568	1536	32	32	0	32	2	30	0	0	2	6	1	5	7	7	0	32	32	1	1	204800	02.88	单 kernel smoke；不可用于完整 workload 性能结论。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-pwq-8	prefill	SMOKE_ONLY	COMPLETE	b2-smoke-b2-pwq-8-prefill	one_kernel_continuous_replay	1663.7548	99119	97229	1890	1890	1075	815	38	777	0	0	38	114	109	5	43	43	0	815	815	1	1	626688	49.29	单 kernel smoke；不可用于完整 workload 性能结论。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-pwq-8	decode1	SMOKE_ONLY	COMPLETE	b2-smoke-b2-pwq-8-decode1	one_kernel_continuous_replay	116.1201	1568	1536	32	32	0	32	2	30	0	0	2	6	1	5	7	7	0	32	32	1	1	204800	02.79	单 kernel smoke；不可用于完整 workload 性能结论。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-pwq-16	prefill	SMOKE_ONLY	COMPLETE	b2-smoke-b2-pwq-16-prefill	one_kernel_continuous_replay	1663.7548	99119	97229	1890	1890	1075	815	38	777	0	0	38	114	109	5	43	43	0	815	815	1	1	626688	48.99	单 kernel smoke；不可用于完整 workload 性能结论。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-pwq-16	decode1	SMOKE_ONLY	COMPLETE	b2-smoke-b2-pwq-16-decode1	one_kernel_continuous_replay	116.1201	1568	1536	32	32	0	32	2	30	0	0	2	6	1	5	7	7	0	32	32	1	1	204800	04.22	单 kernel smoke；不可用于完整 workload 性能结论。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-pwq-64	prefill	SMOKE_ONLY	COMPLETE	b2-smoke-b2-pwq-64-prefill	one_kernel_continuous_replay	1663.7548	99119	97229	1890	1890	1075	815	38	777	0	0	38	114	109	5	43	43	0	815	815	1	1	626688	49.50	单 kernel smoke；不可用于完整 workload 性能结论。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-pwq-64	decode1	SMOKE_ONLY	COMPLETE	b2-smoke-b2-pwq-64-decode1	one_kernel_continuous_replay	116.1201	1568	1536	32	32	0	32	2	30	0	0	2	6	1	5	7	7	0	32	32	1	1	204800	02.79	单 kernel smoke；不可用于完整 workload 性能结论。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-walkers-1	prefill	MISSING	MISSING	NONE	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	0	0	NOT_RUN	NOT_RUN	无 smoke，亦无 full ROI。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-walkers-1	decode1	SMOKE_ONLY	COMPLETE	b2-smoke-b2-walkers-1-decode1-retry3	one_kernel_continuous_replay	116.1201	1568	1536	32	32	0	32	2	30	0	0	2	6	1	5	7	7	0	32	32	1	1	204800	02.74	单 kernel smoke；不可用于完整 workload 性能结论。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-walkers-4	prefill	MISSING	MISSING	NONE	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	0	0	NOT_RUN	NOT_RUN	无 smoke，亦无 full ROI。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-walkers-4	decode1	SMOKE_ONLY	COMPLETE	b2-smoke-b2-walkers-4-decode1-retry3	one_kernel_continuous_replay	116.1201	1568	1536	32	32	0	32	2	30	0	0	2	6	1	5	7	7	0	32	32	1	1	204800	02.84	单 kernel smoke；不可用于完整 workload 性能结论。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-walkers-8	prefill	MISSING	MISSING	NONE	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	0	0	NOT_RUN	NOT_RUN	无 smoke，亦无 full ROI。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-walkers-8	decode1	SMOKE_ONLY	COMPLETE	b2-smoke-b2-walkers-8-decode1-retry3	one_kernel_continuous_replay	116.1201	1568	1536	32	32	0	32	2	30	0	0	2	6	1	5	7	7	0	32	32	1	1	204800	02.71	单 kernel smoke；不可用于完整 workload 性能结论。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-walkers-32	prefill	MISSING	MISSING	NONE	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	0	0	NOT_RUN	NOT_RUN	无 smoke，亦无 full ROI。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-walkers-32	decode1	SMOKE_ONLY	COMPLETE	b2-smoke-b2-walkers-32-decode1-retry4	one_kernel_continuous_replay	116.1201	1568	1536	32	32	0	32	2	30	0	0	2	6	1	5	7	7	0	32	32	1	1	204800	02.72	单 kernel smoke；不可用于完整 workload 性能结论。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-pwc-off	prefill	MISSING	MISSING	NONE	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	0	0	NOT_RUN	NOT_RUN	无 smoke，亦无 full ROI。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-pwc-off	decode1	SMOKE_ONLY	COMPLETE	b2-smoke-b2-pwc-off-decode1-retry4	one_kernel_continuous_replay	114.8912	1568	1536	32	32	0	32	2	30	0	0	2	0	0	0	8	8	0	32	32	1	1	204800	02.86	单 kernel smoke；不可用于完整 workload 性能结论。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-pwc-finite32	prefill	MISSING	MISSING	NONE	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	0	0	NOT_RUN	NOT_RUN	无 smoke，亦无 full ROI。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-pwc-finite32	decode1	MISSING	MISSING	NONE	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	0	0	NOT_RUN	NOT_RUN	无 smoke，亦无 full ROI。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-pwc-finite512	prefill	MISSING	MISSING	NONE	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	0	0	NOT_RUN	NOT_RUN	无 smoke，亦无 full ROI。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-pwc-finite512	decode1	MISSING	MISSING	NONE	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	0	0	NOT_RUN	NOT_RUN	无 smoke，亦无 full ROI。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-pwc-ideal	prefill	MISSING	MISSING	NONE	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	0	0	NOT_RUN	NOT_RUN	无 smoke，亦无 full ROI。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-pwc-ideal	decode1	MISSING	MISSING	NONE	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	0	0	NOT_RUN	NOT_RUN	无 smoke，亦无 full ROI。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-page-2mb-diagnostic	prefill	MISSING	MISSING	NONE	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	0	0	NOT_RUN	NOT_RUN	无 smoke，亦无 full ROI。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-page-2mb-diagnostic	decode1	MISSING	MISSING	NONE	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	0	0	NOT_RUN	NOT_RUN	无 smoke，亦无 full ROI。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-control-vm-disabled	prefill	MISSING	MISSING	NONE	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	0	0	NOT_RUN	NOT_RUN	无 smoke，亦无 full ROI。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-control-vm-disabled	decode1	MISSING	MISSING	NONE	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	0	0	NOT_RUN	NOT_RUN	无 smoke，亦无 full ROI。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-control-ideal-identity	prefill	MISSING	MISSING	NONE	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	0	0	NOT_RUN	NOT_RUN	无 smoke，亦无 full ROI。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-control-ideal-identity	decode1	MISSING	MISSING	NONE	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	0	0	NOT_RUN	NOT_RUN	无 smoke，亦无 full ROI。
