status	global_launch_index	phase	decode_step	normalized_kernel_family	semantic_category	exact_implementation	grid	block	duration_ns	validation_rule
PROVISIONAL_PRE_GATE	91	PREFILL	UNKNOWN	AT_NATIVE_UNROLLED_ELEMENTWISE	COPY_LAYOUT	void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T3, T4, T5, T6)	3584,1,1	128,1,1	7776	HASH_HOLDOUT_NOT_USED_FOR_SELECTION_OR_TUNING
PROVISIONAL_PRE_GATE	96	PREFILL	UNKNOWN	AT_NATIVE_ELEMENTWISE	ELEMENTWISE	void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	7168,1,1	128,1,1	7328	HASH_HOLDOUT_NOT_USED_FOR_SELECTION_OR_TUNING
PROVISIONAL_PRE_GATE	99	PREFILL	UNKNOWN	CUBLAS_GEMM	UNKNOWN	ampere_fp16_s1688gemm_fp16_128x128_ldg8_relu_f2f_stages_32x1_tn	7,16,1	128,1,1	51617	HASH_HOLDOUT_NOT_USED_FOR_SELECTION_OR_TUNING
PROVISIONAL_PRE_GATE	100	PREFILL	UNKNOWN	CUBLAS_GEMM	UNKNOWN	ampere_fp16_s16816gemm_fp16_64x64_ldg8_relu_f2f_stages_64x5_tn	2,32,1	128,1,1	9120	HASH_HOLDOUT_NOT_USED_FOR_SELECTION_OR_TUNING
PROVISIONAL_PRE_GATE	103	PREFILL	UNKNOWN	AT_NATIVE_ELEMENTWISE	ELEMENTWISE	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::neg_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	1792,1,1	128,1,1	3936	HASH_HOLDOUT_NOT_USED_FOR_SELECTION_OR_TUNING
PROVISIONAL_PRE_GATE	107	PREFILL	UNKNOWN	AT_NATIVE_ELEMENTWISE	ELEMENTWISE	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	512,1,1	128,1,1	3040	HASH_HOLDOUT_NOT_USED_FOR_SELECTION_OR_TUNING
PROVISIONAL_PRE_GATE	108	PREFILL	UNKNOWN	AT_NATIVE_ELEMENTWISE	ELEMENTWISE	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::neg_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	256,1,1	128,1,1	1920	HASH_HOLDOUT_NOT_USED_FOR_SELECTION_OR_TUNING
PROVISIONAL_PRE_GATE	111	PREFILL	UNKNOWN	AT_NATIVE_ELEMENTWISE	ELEMENTWISE	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<c10::Half>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	512,1,1	128,1,1	2272	HASH_HOLDOUT_NOT_USED_FOR_SELECTION_OR_TUNING
PROVISIONAL_PRE_GATE	112	PREFILL	UNKNOWN	AT_NATIVE_ELEMENTWISE	COPY_LAYOUT	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3584,1,1	128,1,1	7520	HASH_HOLDOUT_NOT_USED_FOR_SELECTION_OR_TUNING
PROVISIONAL_PRE_GATE	114	PREFILL	UNKNOWN	PYTORCH_FLASH_FWD	ATTENTION_CORE	void pytorch_flash::flash_fwd_kernel<pytorch_flash::Flash_fwd_kernel_traits<(int)64, (int)128, (int)128, (int)4, (bool)0, (bool)0, cutlass::half_t, pytorch_flash::Flash_kernel_traits<(int)64, (int)128, (int)128, (int)4, cutlass::half_t>>, (bool)0, (bool)1, (bool)0, (bool)0, (bool)1, (bool)1, (bool)0>(pytorch_flash::Flash_fwd_params)	16,1,14	128,1,1	147424	HASH_HOLDOUT_NOT_USED_FOR_SELECTION_OR_TUNING
PROVISIONAL_PRE_GATE	116	PREFILL	UNKNOWN	AT_NATIVE_VECTORIZED_ELEMENTWISE	ELEMENTWISE	void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<c10::Half>, at::detail::Array<char *, (int)3>>(int, T2, T3)	3584,1,1	128,1,1	3776	HASH_HOLDOUT_NOT_USED_FOR_SELECTION_OR_TUNING
PROVISIONAL_PRE_GATE	120	PREFILL	UNKNOWN	AT_NATIVE_VECTORIZED_ELEMENTWISE	ELEMENTWISE	void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, at::detail::Array<char *, (int)2>>(int, T2, T3)	4,1,1	128,1,1	992	HASH_HOLDOUT_NOT_USED_FOR_SELECTION_OR_TUNING
PROVISIONAL_PRE_GATE	136	PREFILL	UNKNOWN	AT_NATIVE_ELEMENTWISE	ELEMENTWISE	void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	7168,1,1	128,1,1	7264	HASH_HOLDOUT_NOT_USED_FOR_SELECTION_OR_TUNING
PROVISIONAL_PRE_GATE	145	PREFILL	UNKNOWN	AT_NATIVE_ELEMENTWISE	ELEMENTWISE	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3584,1,1	128,1,1	6976	HASH_HOLDOUT_NOT_USED_FOR_SELECTION_OR_TUNING
PROVISIONAL_PRE_GATE	146	PREFILL	UNKNOWN	AT_NATIVE_ELEMENTWISE	ELEMENTWISE	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<c10::Half>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3584,1,1	128,1,1	7456	HASH_HOLDOUT_NOT_USED_FOR_SELECTION_OR_TUNING
PROVISIONAL_PRE_GATE	152	PREFILL	UNKNOWN	AT_NATIVE_ELEMENTWISE	COPY_LAYOUT	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3584,1,1	128,1,1	7520	HASH_HOLDOUT_NOT_USED_FOR_SELECTION_OR_TUNING
PROVISIONAL_PRE_GATE	154	PREFILL	UNKNOWN	PYTORCH_FLASH_FWD	ATTENTION_CORE	void pytorch_flash::flash_fwd_kernel<pytorch_flash::Flash_fwd_kernel_traits<(int)64, (int)128, (int)128, (int)4, (bool)0, (bool)0, cutlass::half_t, pytorch_flash::Flash_kernel_traits<(int)64, (int)128, (int)128, (int)4, cutlass::half_t>>, (bool)0, (bool)1, (bool)0, (bool)0, (bool)1, (bool)1, (bool)0>(pytorch_flash::Flash_fwd_params)	16,1,14	128,1,1	154081	HASH_HOLDOUT_NOT_USED_FOR_SELECTION_OR_TUNING
PROVISIONAL_PRE_GATE	166	PREFILL	UNKNOWN	AT_NATIVE_VECTORIZED_ELEMENTWISE	ELEMENTWISE	void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::silu_kernel(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 5)]::operator ()() const::[lambda(c10::Half) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)	19456,1,1	128,1,1	16800	HASH_HOLDOUT_NOT_USED_FOR_SELECTION_OR_TUNING
PROVISIONAL_PRE_GATE	171	PREFILL	UNKNOWN	AT_NATIVE_UNROLLED_ELEMENTWISE	COPY_LAYOUT	void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T3, T4, T5, T6)	3584,1,1	128,1,1	7680	HASH_HOLDOUT_NOT_USED_FOR_SELECTION_OR_TUNING
PROVISIONAL_PRE_GATE	173	PREFILL	UNKNOWN	AT_NATIVE_REDUCE	ELEMENTWISE	void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, float, (int)4>>(T3)	128,1,1	32,16,1	5472	HASH_HOLDOUT_NOT_USED_FOR_SELECTION_OR_TUNING
PROVISIONAL_PRE_GATE	175	PREFILL	UNKNOWN	AT_NATIVE_VECTORIZED_ELEMENTWISE	ELEMENTWISE	void at::native::vectorized_elementwise_kernel<(int)4, at::native::rsqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)	4,1,1	128,1,1	1024	HASH_HOLDOUT_NOT_USED_FOR_SELECTION_OR_TUNING
PROVISIONAL_PRE_GATE	176	PREFILL	UNKNOWN	AT_NATIVE_ELEMENTWISE	ELEMENTWISE	void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	7168,1,1	128,1,1	7264	HASH_HOLDOUT_NOT_USED_FOR_SELECTION_OR_TUNING
PROVISIONAL_PRE_GATE	182	PREFILL	UNKNOWN	AT_NATIVE_ELEMENTWISE	ELEMENTWISE	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3584,1,1	128,1,1	7744	HASH_HOLDOUT_NOT_USED_FOR_SELECTION_OR_TUNING
PROVISIONAL_PRE_GATE	183	PREFILL	UNKNOWN	AT_NATIVE_ELEMENTWISE	ELEMENTWISE	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::neg_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	1792,1,1	128,1,1	3936	HASH_HOLDOUT_NOT_USED_FOR_SELECTION_OR_TUNING
PROVISIONAL_PRE_GATE	191	PREFILL	UNKNOWN	AT_NATIVE_ELEMENTWISE	ELEMENTWISE	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<c10::Half>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	512,1,1	128,1,1	2272	HASH_HOLDOUT_NOT_USED_FOR_SELECTION_OR_TUNING
PROVISIONAL_PRE_GATE	195	PREFILL	UNKNOWN	CUBLAS_GEMM	UNKNOWN	ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_stages_32x1_tn	4,32,1	128,1,1	52416	HASH_HOLDOUT_NOT_USED_FOR_SELECTION_OR_TUNING
PROVISIONAL_PRE_GATE	199	PREFILL	UNKNOWN	AT_NATIVE_REDUCE	ELEMENTWISE	void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, float, (int)4>>(T3)	128,1,1	32,16,1	4672	HASH_HOLDOUT_NOT_USED_FOR_SELECTION_OR_TUNING
PROVISIONAL_PRE_GATE	202	PREFILL	UNKNOWN	AT_NATIVE_ELEMENTWISE	ELEMENTWISE	void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	7168,1,1	128,1,1	7136	HASH_HOLDOUT_NOT_USED_FOR_SELECTION_OR_TUNING
PROVISIONAL_PRE_GATE	214	PREFILL	UNKNOWN	AT_NATIVE_VECTORIZED_ELEMENTWISE	ELEMENTWISE	void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, at::detail::Array<char *, (int)2>>(int, T2, T3)	4,1,1	128,1,1	1248	HASH_HOLDOUT_NOT_USED_FOR_SELECTION_OR_TUNING
PROVISIONAL_PRE_GATE	217	PREFILL	UNKNOWN	AT_NATIVE_UNROLLED_ELEMENTWISE	COPY_LAYOUT	void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)], at::detail::Array<char *, (int)2>, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T3, T4, T5, T6)	3584,1,1	128,1,1	6976	HASH_HOLDOUT_NOT_USED_FOR_SELECTION_OR_TUNING
PROVISIONAL_PRE_GATE	218	PREFILL	UNKNOWN	AT_NATIVE_ELEMENTWISE	ELEMENTWISE	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3584,1,1	128,1,1	6720	HASH_HOLDOUT_NOT_USED_FOR_SELECTION_OR_TUNING
PROVISIONAL_PRE_GATE	221	PREFILL	UNKNOWN	CUBLAS_GEMM	UNKNOWN	ampere_fp16_s16816gemm_fp16_64x64_ldg8_relu_f2f_stages_64x5_tn	2,32,1	128,1,1	9216	HASH_HOLDOUT_NOT_USED_FOR_SELECTION_OR_TUNING
PROVISIONAL_PRE_GATE	226	PREFILL	UNKNOWN	AT_NATIVE_ELEMENTWISE	ELEMENTWISE	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<c10::Half>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3584,1,1	128,1,1	7456	HASH_HOLDOUT_NOT_USED_FOR_SELECTION_OR_TUNING
PROVISIONAL_PRE_GATE	228	PREFILL	UNKNOWN	AT_NATIVE_ELEMENTWISE	ELEMENTWISE	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::neg_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	256,1,1	128,1,1	1920	HASH_HOLDOUT_NOT_USED_FOR_SELECTION_OR_TUNING
